year,lga,crop,rainfall_mm,temp_celsius,soil_ph,fertilizer_kg_ha,yield_kg_ha
2023,Moro,Rice,1172.0,28.16,7.0,61.6,3395.2
2023,Baruten,Rice,974.0,28.89,6.53,43.2,2806.3
2023,Baruten,Cassava,951.3,30.07,6.47,12.4,11998.0
2012,Pategi,Rice,871.1,29.39,7.5,57.7,3211.2
2021,Kaiama,Cassava,910.8,28.77,5.81,37.0,12477.3
2016,Ekiti,Cassava,977.2,29.16,6.76,43.6,12798.6
2013,Irepodun,Maize,1240.1,32.83,6.23,50.0,2492.5
2018,Irepodun,Maize,1333.4,28.4,6.36,47.9,2630.0
2012,Ilorin South,Maize,1212.3,28.86,7.12,55.6,3394.4
2014,Ilorin South,Maize,1359.8,30.39,6.5,38.5,2571.5
2012,Pategi,Maize,779.7,30.49,6.52,52.7,2348.0
2016,Pategi,Sorghum,1045.2,30.64,6.84,41.1,2352.8
2014,Ilorin South,Maize,1544.8,29.65,5.98,56.1,3427.6
2018,Asa,Rice,1145.6,26.44,5.7,54.2,2929.6
2016,Ifelodun,Yam,1133.2,31.44,5.57,31.0,7574.5
2011,Edu,Maize,1418.0,26.44,5.02,61.3,2990.9
2013,Ifelodun,Yam,1436.9,29.04,7.43,37.0,9928.7
2018,Ilorin East,Maize,1121.6,27.14,5.54,57.1,2934.3
2021,Ifelodun,Maize,1137.0,28.38,6.07,50.5,2760.1
2023,Asa,Sorghum,1157.7,29.09,6.03,72.6,2605.8
2011,Kaiama,Sorghum,1056.6,29.08,6.38,41.6,2421.6
2019,Ilorin East,Yam,1062.2,29.26,6.69,39.8,8651.4
2018,Ifelodun,Sorghum,1049.4,31.4,6.72,44.7,2339.3
2019,Asa,Yam,1084.8,29.32,5.85,40.5,8644.4
2014,Edu,Maize,1194.8,28.06,6.1,57.0,3135.8
2011,Ifelodun,Maize,1235.1,30.24,6.37,20.8,2914.4
2013,Asa,Yam,1432.6,30.64,6.05,29.2,8844.5
2021,Oke-Ero,Yam,1050.2,26.29,7.16,29.0,8995.8
2021,Ilorin South,Cassava,1347.6,29.58,6.49,59.3,13372.7
2016,Pategi,Rice,910.8,29.76,6.64,70.7,2914.4
2021,Oke-Ero,Rice,1192.6,27.96,6.6,43.4,3185.6
2022,Irepodun,Yam,1301.2,30.98,6.9,42.5,9040.2
2017,Ilorin South,Rice,1031.6,28.23,6.31,46.1,2928.9
2012,Irepodun,Cassava,1257.4,28.73,5.42,62.4,12986.4
2023,Offa,Yam,1225.0,28.19,6.44,31.1,8732.7
2010,Ilorin West,Rice,1273.9,28.53,5.81,48.6,3362.9
2013,Pategi,Yam,1049.2,26.53,5.88,59.6,9024.6
2011,Oke-Ero,Yam,1568.3,25.91,6.55,52.5,9855.9
2017,Ilorin West,Maize,1104.3,31.37,6.94,47.8,2684.9
2013,Ilorin West,Cassava,1120.4,26.98,6.21,60.0,13242.8
2011,Edu,Rice,1106.5,26.72,6.39,10.0,2899.7
2023,Ilorin South,Yam,1116.7,24.62,7.22,55.2,9552.7
2015,Pategi,Rice,1120.1,27.35,6.34,35.2,2930.2
2015,Offa,Yam,1378.4,26.12,7.76,17.5,9511.3
2019,Irepodun,Rice,1413.1,31.46,6.54,52.7,3155.8
2013,Asa,Maize,1114.4,30.32,5.14,65.6,2229.5
2015,Ilorin East,Cassava,1075.1,27.26,6.65,42.9,12958.9
2022,Asa,Maize,1270.7,32.55,6.43,59.3,2996.3
2011,Ilorin East,Rice,1117.2,30.27,6.97,69.2,3639.0
2019,Oke-Ero,Cassava,1294.9,27.92,6.6,64.7,13611.8
2021,Baruten,Cassava,1014.8,24.0,6.12,69.6,13598.6
2011,Pategi,Sorghum,1229.0,32.62,5.47,56.1,2005.6
2019,Asa,Sorghum,1432.1,26.0,6.07,46.1,2978.5
2023,Ifelodun,Rice,1469.4,25.54,5.69,21.0,3130.0
2013,Pategi,Maize,1124.1,30.34,5.85,41.3,2375.1
2023,Ifelodun,Rice,1141.8,32.89,6.55,32.4,2568.9
2017,Ekiti,Sorghum,1242.9,30.99,7.2,77.6,2708.6
2023,Ilorin South,Yam,1250.2,29.52,6.44,42.4,8962.3
2016,Ilorin East,Yam,1298.8,29.57,5.48,46.8,9013.2
2021,Pategi,Yam,937.8,30.04,6.47,53.3,8933.5
2018,Ilorin East,Maize,1173.5,29.87,6.92,45.7,3103.9
2023,Pategi,Rice,1181.2,29.01,5.83,70.4,3574.2
2017,Moro,Maize,993.1,28.69,6.12,35.7,2337.2
2014,Kaiama,Rice,953.7,28.39,6.21,47.9,2955.2
2022,Ilorin South,Rice,1195.0,27.14,5.73,33.9,2778.6
2011,Edu,Yam,1469.2,27.99,6.59,25.2,9113.8
2014,Ekiti,Rice,1122.4,25.45,6.13,35.8,3262.1
2017,Edu,Maize,1233.6,28.32,6.45,44.4,3142.6
2019,Oke-Ero,Maize,1197.5,26.72,5.67,38.6,2556.9
2018,Oke-Ero,Yam,1378.3,26.51,5.94,34.6,8977.0
2021,Edu,Sorghum,1579.0,28.82,6.63,23.9,2741.0
2021,Edu,Maize,1120.4,31.01,5.98,43.8,2471.1
2021,Offa,Maize,1126.6,30.15,7.24,22.4,2321.8
2022,Ilorin South,Sorghum,1356.6,25.67,5.96,56.4,2485.0
2018,Edu,Maize,1302.3,26.72,6.33,46.2,2982.6
2022,Ifelodun,Yam,1477.0,30.19,6.76,23.1,8803.7
2022,Kaiama,Sorghum,924.9,26.73,5.35,40.4,1754.7
2010,Kaiama,Maize,878.0,28.1,5.14,33.7,1779.6
2018,Ilorin West,Maize,1288.6,29.49,5.28,49.8,2397.1
2016,Baruten,Cassava,877.3,26.76,6.96,65.1,13602.3
2018,Oke-Ero,Rice,1323.1,28.69,5.87,16.9,2798.5
2017,Ilorin East,Rice,1276.1,26.1,7.73,46.7,4138.4
2010,Moro,Yam,1360.0,27.42,5.86,42.6,9186.6
2021,Oyun,Cassava,1375.4,29.08,6.31,55.1,13087.0
2017,Pategi,Cassava,1104.5,25.63,7.13,48.2,13695.7
2017,Ilorin East,Yam,1297.3,29.29,7.4,33.7,9305.5
2020,Baruten,Rice,947.6,28.46,7.44,40.2,3412.0
2012,Moro,Maize,1222.0,29.49,6.93,33.1,2598.4
2010,Offa,Yam,1381.0,28.9,6.81,61.1,9317.1
2017,Pategi,Sorghum,1025.3,30.96,6.56,45.3,2359.5
2012,Ilorin South,Rice,1255.3,28.73,6.67,73.5,3893.2
2012,Asa,Cassava,1141.0,27.73,5.87,44.1,12619.7
2010,Ilorin South,Maize,1204.3,28.72,5.71,34.4,2212.9
2020,Pategi,Rice,1142.7,29.48,6.2,22.3,2891.7
2014,Ilorin East,Maize,1228.7,28.59,6.1,18.0,2097.9
2019,Pategi,Rice,1205.2,28.57,5.93,21.2,3018.7
2016,Ilorin East,Maize,996.0,27.24,6.62,49.0,2658.4
2019,Moro,Maize,1311.9,27.31,6.77,52.6,3456.2
2018,Moro,Maize,1296.8,25.98,6.25,21.3,2672.9
2021,Oke-Ero,Sorghum,1524.5,31.65,7.09,58.4,3269.1
2016,Offa,Sorghum,1153.8,26.26,5.51,37.8,2087.2
2018,Oke-Ero,Sorghum,1232.9,27.25,6.08,47.2,2548.2
2017,Baruten,Cassava,1013.6,27.21,5.77,69.2,13033.7
2021,Edu,Rice,1436.6,30.11,5.08,58.5,2863.5
2011,Ilorin South,Maize,1185.7,27.97,6.15,41.0,2848.2
2010,Moro,Yam,1241.9,30.75,6.13,31.6,8493.2
2016,Irepodun,Maize,1291.2,27.29,7.11,12.7,2794.8
2016,Baruten,Cassava,1067.1,29.0,6.58,34.2,12546.1
2023,Ifelodun,Maize,1133.0,27.0,5.59,41.8,1989.2
2017,Offa,Cassava,1229.1,32.36,7.31,30.2,12865.7
2014,Ilorin East,Maize,1361.0,26.36,6.93,43.0,3865.3
2012,Oke-Ero,Yam,1046.0,29.06,6.55,46.2,9039.5
2021,Baruten,Rice,1205.8,29.64,6.06,41.6,2961.9
2017,Oyun,Cassava,1095.0,29.24,5.62,35.2,12340.3
2015,Ilorin South,Maize,1379.3,28.17,5.98,47.5,2949.9
2020,Moro,Sorghum,971.5,28.27,6.85,51.6,2669.7
2012,Ilorin East,Cassava,1116.2,28.58,7.33,28.6,12818.9
2010,Asa,Rice,1256.6,28.24,7.13,66.2,4154.8
2012,Oyun,Sorghum,1434.8,30.23,5.91,43.5,2601.6
2014,Offa,Sorghum,1190.1,32.48,5.53,45.3,2004.0
2023,Baruten,Rice,776.9,27.5,6.28,55.6,3008.4
2012,Pategi,Sorghum,1163.5,26.03,5.14,48.5,2240.5
2010,Ekiti,Sorghum,982.8,28.34,6.39,59.3,2633.7
2014,Ilorin East,Cassava,870.2,33.14,6.11,49.3,12335.3
2019,Pategi,Maize,858.5,27.05,5.92,35.8,2140.5
2016,Ilorin South,Maize,1124.7,31.45,5.24,50.4,2012.5
2023,Pategi,Cassava,1078.8,31.52,6.51,27.8,12454.2
2016,Ilorin West,Yam,1306.3,27.5,5.88,46.6,9368.6
2020,Irepodun,Rice,1236.6,29.52,5.5,44.5,2580.9
2018,Isin,Sorghum,1115.4,31.43,4.5,41.9,1098.6
2019,Oyun,Maize,1008.0,27.82,6.18,43.1,2576.6
2019,Edu,Maize,1330.9,28.13,7.26,16.8,2953.5
2021,Isin,Rice,1297.5,27.45,7.2,36.8,3665.7
2022,Ilorin South,Rice,1185.1,26.67,5.93,46.4,3243.3
2012,Ifelodun,Sorghum,1477.0,27.33,5.84,47.4,2727.7
2016,Oke-Ero,Maize,1039.5,26.3,6.48,29.6,2917.9
2010,Ifelodun,Cassava,971.2,28.56,5.6,64.0,12400.5
2013,Ilorin West,Cassava,1096.2,27.11,6.38,32.0,12653.2
2022,Pategi,Sorghum,952.3,28.92,6.66,59.5,2505.4
2013,Oyun,Rice,1236.5,25.7,6.94,51.4,3484.8
2023,Edu,Rice,1163.8,29.1,6.14,35.3,2859.3
2014,Ekiti,Yam,1252.8,30.0,6.08,71.6,9581.2
2016,Ilorin West,Sorghum,1012.3,24.91,5.67,27.1,2041.7
2016,Oyun,Maize,1416.6,29.17,5.7,58.8,3015.5
2022,Kaiama,Cassava,1288.8,30.71,6.06,60.0,12803.5
2020,Isin,Yam,1367.6,26.32,6.42,34.9,9144.3
2022,Ilorin West,Cassava,1251.4,31.51,6.75,65.9,13233.4
2013,Isin,Sorghum,1268.5,29.25,5.72,41.2,2164.3
2022,Ilorin East,Sorghum,1285.5,27.23,7.1,49.3,3338.6
2016,Ifelodun,Rice,1267.2,28.4,6.04,48.9,3348.7
2020,Ilorin East,Cassava,1296.4,29.5,6.19,43.0,12732.7
2012,Irepodun,Yam,1399.4,28.64,5.75,57.2,9235.7
2015,Kaiama,Maize,976.1,29.47,4.75,56.9,2105.1
2021,Edu,Maize,1306.4,26.84,6.73,18.8,3062.0
2011,Pategi,Rice,894.5,28.8,6.64,64.6,3550.4
2019,Ekiti,Yam,1416.0,25.96,6.03,20.1,8773.2
2022,Offa,Cassava,1098.5,28.3,6.24,60.5,12935.5
2023,Isin,Maize,1470.1,26.87,6.51,61.9,3335.2
2018,Ekiti,Sorghum,1194.0,27.18,5.26,28.6,1886.4
2014,Isin,Rice,985.4,30.72,5.88,38.8,2593.3
2015,Ilorin South,Cassava,1219.2,30.46,6.68,28.4,12960.2
2021,Ilorin West,Yam,1097.8,29.6,5.45,41.8,8380.1
2021,Irepodun,Yam,1326.1,26.53,6.38,40.4,9200.8
2021,Ifelodun,Rice,1102.1,27.93,5.39,56.7,2963.3
2021,Offa,Rice,1133.1,30.68,6.48,64.7,3139.7
2013,Moro,Maize,916.6,28.76,6.18,65.9,3117.9
2023,Isin,Maize,1132.2,32.67,5.23,36.6,1503.9
2023,Ekiti,Yam,836.4,29.21,6.9,41.9,8731.5
2020,Irepodun,Yam,962.4,28.85,5.76,19.7,8491.9
2019,Asa,Cassava,1314.1,27.94,5.71,32.9,12762.0
2016,Offa,Cassava,1317.9,28.74,6.32,59.5,13304.4
2021,Asa,Sorghum,1263.8,28.23,6.89,69.2,3121.2
2018,Ilorin East,Yam,1055.0,29.77,5.59,26.5,8121.4
2016,Ifelodun,Cassava,1192.8,30.22,6.24,36.1,12964.7
2023,Pategi,Yam,833.3,27.09,6.46,44.6,8282.8
2010,Oke-Ero,Maize,1026.2,26.1,6.62,49.2,3274.3
2010,Pategi,Rice,951.2,25.19,6.31,32.9,2696.2
2018,Oke-Ero,Maize,1331.6,29.41,5.98,51.4,2793.8
2020,Moro,Cassava,1166.9,26.51,5.7,37.9,12683.0
2023,Ilorin South,Sorghum,1204.0,24.62,6.25,44.8,2905.0
2018,Ekiti,Maize,1231.3,29.2,5.56,53.2,2282.5
2013,Oyun,Sorghum,893.7,32.99,4.5,45.1,1142.4
2022,Moro,Sorghum,1162.9,28.49,6.46,38.5,2822.8
2018,Ilorin West,Rice,1097.7,30.01,6.74,43.4,2831.1
2012,Ilorin West,Maize,1049.8,28.65,4.78,43.7,2013.9
2016,Pategi,Sorghum,942.9,28.32,5.59,39.4,1702.7
2015,Ekiti,Rice,1469.7,30.15,6.57,41.1,3521.8
2017,Oyun,Yam,1296.1,27.98,7.43,69.0,9969.5
2020,Edu,Rice,1114.3,28.98,6.21,53.4,3016.6
2018,Ilorin South,Yam,1285.9,29.08,5.76,40.6,8868.1
2023,Irepodun,Sorghum,1409.9,27.3,6.09,55.5,3276.9
2014,Isin,Sorghum,1338.7,30.29,7.02,40.0,2695.3
2010,Oyun,Yam,1208.9,28.19,5.81,62.6,9243.8
2012,Oke-Ero,Rice,1103.0,27.14,5.72,50.5,2780.1
2019,Offa,Maize,1304.7,29.47,5.91,43.4,2472.1
2021,Edu,Maize,1259.0,26.88,5.63,51.7,2921.6
2017,Isin,Yam,1334.3,28.55,6.27,21.4,9084.9
2020,Isin,Sorghum,1295.3,28.48,7.17,28.1,2778.2
2015,Edu,Sorghum,1357.4,30.45,6.39,27.1,2233.8
2017,Ilorin East,Maize,1119.7,29.35,6.05,47.1,2561.8
2018,Asa,Maize,1397.6,28.45,6.02,71.0,3065.4
2013,Isin,Maize,1229.6,29.97,5.26,78.5,2920.6
2010,Edu,Rice,1511.3,31.0,6.73,54.6,3860.3
2023,Oyun,Sorghum,1096.6,29.5,6.15,52.5,2254.2
2010,Edu,Rice,1460.4,28.52,6.09,18.0,2923.4
2019,Kaiama,Rice,1112.4,26.14,8.0,36.9,3889.9
2013,Moro,Cassava,1102.3,26.58,6.38,33.2,12798.2
2021,Baruten,Rice,998.0,27.95,5.75,35.7,2623.2
2023,Ilorin East,Rice,1151.9,27.4,5.94,42.5,3464.9
2016,Ifelodun,Yam,1263.6,28.16,6.89,37.9,9178.3
2011,Baruten,Rice,1016.9,28.6,6.27,15.3,2437.3
2012,Moro,Sorghum,1113.9,29.45,5.34,56.2,1969.0
2010,Moro,Yam,1196.3,28.37,6.75,28.9,9088.9
2014,Moro,Cassava,1521.3,29.38,5.8,48.6,13127.8
2010,Baruten,Maize,1000.5,28.62,7.32,76.1,3292.7
2017,Ekiti,Cassava,1265.4,24.94,6.85,31.2,13634.6
2010,Asa,Rice,1205.7,26.81,5.93,10.0,2948.7
2020,Edu,Maize,1218.0,28.24,6.97,40.7,2920.4
2010,Offa,Rice,1292.0,26.32,6.24,61.5,3330.3
2011,Pategi,Cassava,886.6,29.58,6.71,74.4,13339.3
2011,Asa,Rice,1161.4,31.26,6.49,26.6,2591.0
2021,Oke-Ero,Rice,949.7,30.69,5.69,52.5,2745.9
2015,Oyun,Sorghum,1259.9,28.12,5.81,38.0,1904.4
2016,Ilorin South,Maize,1297.1,31.18,6.82,43.4,3058.7
2014,Ekiti,Maize,1127.5,28.77,6.0,84.7,2919.0
2010,Ifelodun,Maize,1436.1,27.89,5.96,22.5,2798.0
2010,Asa,Maize,1016.1,27.4,5.63,48.8,2453.4
2012,Pategi,Maize,1097.9,27.96,6.45,52.0,2692.2
2023,Offa,Maize,1233.7,27.8,7.44,61.3,3509.2
2011,Ilorin West,Sorghum,1357.1,28.81,5.56,46.5,2522.0
2014,Moro,Maize,1452.6,28.79,6.21,49.6,3131.3
2021,Isin,Rice,1131.2,28.51,7.05,39.1,3439.7
2019,Oke-Ero,Yam,1361.8,29.29,6.15,49.0,9523.0
2015,Ilorin South,Rice,1194.2,30.64,6.47,39.9,2695.1
2016,Ilorin East,Sorghum,1174.1,30.21,5.56,54.3,2495.5
2013,Ifelodun,Maize,1332.5,25.83,6.46,39.5,3168.4
2016,Oyun,Maize,1297.8,24.0,6.09,50.7,3092.6
2020,Ilorin South,Maize,963.5,30.18,6.79,44.6,2300.6
2017,Moro,Maize,1421.5,26.04,6.91,61.9,3718.1
2020,Isin,Maize,1407.0,28.1,7.75,44.2,3830.0
2010,Ekiti,Maize,1106.2,26.39,6.55,18.4,2525.6
2015,Isin,Maize,1259.4,25.26,6.4,63.9,3750.1
2017,Baruten,Maize,862.9,29.47,6.32,31.4,1825.1
2014,Isin,Rice,1239.1,29.87,5.99,35.2,2858.3
2013,Baruten,Maize,866.1,27.46,6.4,36.1,2134.0
2011,Oke-Ero,Rice,1099.3,24.0,6.02,65.6,3705.2
2015,Ekiti,Rice,1196.2,27.52,6.3,13.0,2966.3
2015,Oyun,Sorghum,1375.9,29.21,6.99,92.1,3547.7
2020,Irepodun,Maize,1281.5,25.84,5.6,60.8,2541.0
2010,Moro,Yam,1144.4,28.83,6.88,48.3,9225.5
2018,Baruten,Sorghum,910.9,28.47,6.99,44.2,2501.4
2021,Ilorin East,Maize,772.7,29.54,6.13,49.3,2275.6
2020,Isin,Yam,1372.3,28.72,4.93,52.8,8999.7
2015,Isin,Cassava,939.0,26.75,5.84,54.7,12567.1
2022,Ilorin East,Maize,1145.6,30.65,6.98,53.3,3089.8
2012,Oyun,Maize,1032.0,28.21,6.19,46.3,2829.5
2013,Ilorin West,Yam,1005.8,28.45,5.6,42.0,8085.9
2021,Pategi,Sorghum,1192.5,26.82,5.9,42.7,2489.1
